06845599;_member_of_domain_usage;03754979;1;1
00789448;_verb_group;01062739;1;1
08860123;_member_of_domain_region;05688486;1534;28855
02233096;_member_meronym;02233338;8;149
01371092;_hypernym;01352059;6;1
02314321;_hypernym;08102555;54;6
08621598;_hypernym;08620061;12;13
03239726;_has_part;03027250;5;2
12400489;_hypernym;12651821;8;1
00779360;_derivationally_related_form;15274695;2;13133
07359599;_derivationally_related_form;00555447;1;1
10686313;_hypernym;09610660;4830;374
13286099;_derivationally_related_form;02234988;1;1
01444326;_hypernym;01441510;50;16
05442131;_has_part;05436080;4;4
08660339;_hypernym;08512259;1634;596
07085786;_hypernym;07085375;4;25
06178812;_derivationally_related_form;10256080;1;1
01257145;_derivationally_related_form;07488875;1;1
02156546;_derivationally_related_form;07335716;1;1
02270342;_also_see;02577061;1;1
01938426;_hypernym;01835496;544;26
08814333;_instance_hypernym;08524735;321;2
00770151;_hypernym;00766234;40432;6560
04903813;_derivationally_related_form;01763829;1;1
01908287;_hypernym;08107499;22;3
07861421;_derivationally_related_form;01577513;1;1
01046587;_hypernym;01046059;3;6
00951037;_hypernym;00949619;6554;1728
13266892;_hypernym;13265904;6;3
15121625;_hypernym;00028270;32775;61
06754184;_hypernym;06753800;1;1
01194418;_hypernym;02492198;6;3
01008719;_synset_domain_topic_of;08441203;40547;4251
00474017;_derivationally_related_form;07357679;1;1
13627516;_has_part;13627327;34;26
00964569;_derivationally_related_form;01118449;1;1
04105068;_hypernym;04014297;71;25
01322854;_derivationally_related_form;00223983;1;1
01716882;_derivationally_related_form;07007945;1;1
08159924;_hypernym;07971582;1;1
06580646;_hypernym;06568978;40523;13100
00968962;_hypernym;00968211;40441;6854
01696849;_member_meronym;01697837;15;97
06643408;_hypernym;06797169;19;12
06596978;_hypernym;06593296;5;3
07572957;_hypernym;07566340;6903;119
01695976;_derivationally_related_form;04681797;3;2
07091902;_hypernym;06290637;771;16
02425228;_hypernym;02424695;8;18
06693198;_derivationally_related_form;00860620;1;1
01057034;_derivationally_related_form;01253379;1;1
00062582;_hypernym;00089324;246;1748
01455592;_member_meronym;01455986;100;328
07191777;_hypernym;07191279;100;33
02514988;_member_meronym;02515214;9;156
08174398;_member_meronym;08949093;1;2
00630634;_hypernym;00624738;40902;18340
12406715;_hypernym;12405714;1;1
07466557;_hypernym;07470671;41;272
01733213;_hypernym;01714208;231;17
12224309;_hypernym;11534677;1;1
00810729;_hypernym;00811375;1;1
13726074;_has_part;13725726;10;6
00802946;_derivationally_related_form;01141841;1;1
09989045;_hypernym;10129825;40779;23640
00974367;_derivationally_related_form;09795124;1;1
02802544;_hypernym;03120491;208;27594
10128909;_hypernym;09606527;40564;9178
01687569;_derivationally_related_form;05844105;1;1
02001858;_derivationally_related_form;00319939;1;1
05673908;_derivationally_related_form;01978003;1;1
07040148;_hypernym;07037465;1;1
13060190;_hypernym;12992868;231;3
00376400;_hypernym;00376063;128;28
06083243;_derivationally_related_form;10806222;1;1
08900535;_has_part;08903220;39;25769
00353992;_derivationally_related_form;00493703;3;2
00043902;_synset_domain_topic_of;00471613;64;4
02641035;_derivationally_related_form;01062817;1;1
01951276;_hypernym;01953810;170;7
05154517;_hypernym;04723816;1538;101
02490004;_hypernym;02488834;39709;9411
02040505;_hypernym;02021795;84;7
10826352;_instance_hypernym;09989502;1;1
08541288;_derivationally_related_form;00195342;1;1
00740342;_synset_domain_topic_of;08441203;30;1
01463963;_derivationally_related_form;05075602;1;1
01170243;_derivationally_related_form;14447908;1;1
07434102;_hypernym;07433973;7665;8403
02156546;_hypernym;02609764;36;8
08919949;_member_meronym;09697070;32815;750
11020721;_instance_hypernym;10624540;41;15
