Stan_Collymore;playsFor;England_national_football_team;69.0;1.0
Suriname;hasOfficialLanguage;Dutch_language;8344.0;6588.0
Mantorras;playsFor;F.C._Alverca;3.0;2.0
Pablo_Bonells;isAffiliatedTo;Club_Celaya;4.0;1.0
Jürgen_Habermas;isInterestedIn;Political_philosophy;30438.0;24527.0
Victorio_Cocco;isAffiliatedTo;Argentina_national_football_team;13.0;1.0
Velibor_Vasović;playsFor;AFC_Ajax;12.0;1.0
Telmo_Zarra;diedIn;Bilbao;38538.0;37783.0
Robert_Gascoyne-Cecil,_3rd_Marquess_of_Salisbury;hasGender;male;14736.0;31263.0
Torbjörn_Nilsson;isAffiliatedTo;IFK_Göteborg;2.0;1.0
Rosemère,_Quebec;isLocatedIn;Quebec;76851.0;80853.0
Mark_Blake_(footballer_born_1970);isAffiliatedTo;Portsmouth_F.C.;21.0;1.0
Tony_Jantschke;playsFor;Germany_national_youth_football_team;29.0;4.0
Pavel_Košťál;isAffiliatedTo;F.C._Hansa_Rostock;3.0;1.0
Bret_McKenzie;hasMusicalRole;wordnet_vocal_music_107282006;62.0;2.0
Édouard_Wawrzyniak;isAffiliatedTo;Valenciennes_F.C.;458.0;155.0
Chaker_Zouagi;playsFor;Olmaliq_FK;1.0;2.0
Nicolás_Olivera;isAffiliatedTo;Córdoba_C.F.;118975.0;116687.0
Guy_Dardenne;isAffiliatedTo;R._White_Daring_Molenbeek;29657.0;24550.0
Jim_Moffat;isAffiliatedTo;Albion_Rovers_F.C.;3.0;1.0
Alan_Sunderland;playsFor;Derry_City_F.C.;2.0;2.0
José_Callejón;playsFor;Real_Madrid_C;1.0;2.0
Adrian_Pătulea;isAffiliatedTo;FC_Rapid_București;2.0;1.0
Jesús_Turiel;isAffiliatedTo;Real_Valladolid_B;12.0;1.0
Divya_Bharti;actedIn;Balwaan;106435.0;108103.0
Luciano_Quadros_da_Silva;wasBornIn;Porto_Alegre;90921.0;81679.0
Pat_Noonan;isAffiliatedTo;Colorado_Rapids;10.0;1.0
Battle_of_the_Dukla_Pass;happenedIn;Nazi_Germany;446.0;493.0
Frank_Mill;isAffiliatedTo;Fortuna_Düsseldorf;1.0;1.0
Volodymyr_Muntyan;isAffiliatedTo;S.K._Tavriya_Simferopol;15060.0;10070.0
Leopold_III,_Margrave_of_Austria;hasChild;Gertrude_of_Babenberg,_Duchess_of_Bohemia;112462.0;113583.0
Marcel_Schmelzer;playsFor;Germany_national_under-21_football_team;194.0;1.0
Eran_Zahavi;wasBornIn;Rishon_LeZion;5505.0;4688.0
Antonio_Candreva;playsFor;Ternana_Calcio;1.0;2.0
