00789448;_verb_group;01062739;1;1
02233096;_member_meronym;02233338;MISS_18;MISS_139
06845599;_member_of_domain_usage;03754979;1;52
01371092;_hypernym;01352059;6;1
08621598;_hypernym;08620061;31;3
03239726;_has_part;03027250;MISS_44;MISS_7
02314321;_hypernym;08102555;26;2
08860123;_member_of_domain_region;05688486;1;MISS_4534
00779360;_derivationally_related_form;15274695;2;12
12400489;_hypernym;12651821;27;1
10686313;_hypernym;09610660;MISS_280;MISS_16
01444326;_hypernym;01441510;MISS_6;MISS_6
05442131;_has_part;05436080;31;132
13286099;_derivationally_related_form;02234988;1;1
07359599;_derivationally_related_form;00555447;1;1
07085786;_hypernym;07085375;2;14
08660339;_hypernym;08512259;MISS_56;MISS_34
06178812;_derivationally_related_form;10256080;1;1
02270342;_also_see;02577061;1;1
02156546;_derivationally_related_form;07335716;1;1
01257145;_derivationally_related_form;07488875;1;1
00770151;_hypernym;00766234;MISS_419;MISS_1
04903813;_derivationally_related_form;01763829;1;1
01908287;_hypernym;08107499;8;3
07861421;_derivationally_related_form;01577513;1;1
01046587;_hypernym;01046059;8;9
00951037;_hypernym;00949619;MISS_8;MISS_16
13266892;_hypernym;13265904;6;3
15121625;_hypernym;00028270;MISS_9;MISS_1
01938426;_hypernym;01835496;MISS_3371;MISS_54
06754184;_hypernym;06753800;2;2
01194418;_hypernym;02492198;4;3
08814333;_instance_hypernym;08524735;208;1
13627516;_has_part;13627327;MISS_24;MISS_2
00474017;_derivationally_related_form;07357679;1;1
01008719;_synset_domain_topic_of;08441203;MISS_4018;MISS_1
00964569;_derivationally_related_form;01118449;1;1
04105068;_hypernym;04014297;88;41
08159924;_hypernym;07971582;7;1
06580646;_hypernym;06568978;MISS_157;MISS_1
00968962;_hypernym;00968211;MISS_28;MISS_1
01322854;_derivationally_related_form;00223983;1;1
01696849;_member_meronym;01697837;23;28
06643408;_hypernym;06797169;7;5
06596978;_hypernym;06593296;5;24
07572957;_hypernym;07566340;MISS_97;MISS_5
07091902;_hypernym;06290637;14;4
02425228;_hypernym;02424695;MISS_1;MISS_95
01695976;_derivationally_related_form;04681797;6;3
01716882;_derivationally_related_form;07007945;1;1
00062582;_hypernym;00089324;MISS_1;MISS_7
01455592;_member_meronym;01455986;99;216
