Stan_Collymore;playsFor;England_national_football_team;117.0;1.0
Suriname;hasOfficialLanguage;Dutch_language;241.0;9.0
Mantorras;playsFor;F.C._Alverca;2.0;2.0
Pablo_Bonells;isAffiliatedTo;Club_Celaya;1.0;1.0
Jürgen_Habermas;isInterestedIn;Political_philosophy;25.0;1.0
Victorio_Cocco;isAffiliatedTo;Argentina_national_football_team;1.0;1.0
Velibor_Vasović;playsFor;AFC_Ajax;32.0;1.0
Telmo_Zarra;diedIn;Bilbao;116.0;7.0
Robert_Gascoyne-Cecil,_3rd_Marquess_of_Salisbury;hasGender;male;5682.0;1.0
Torbjörn_Nilsson;isAffiliatedTo;IFK_Göteborg;1.0;1.0
Rosemère,_Quebec;isLocatedIn;Quebec;259.0;1.0
Mark_Blake_(footballer_born_1970);isAffiliatedTo;Portsmouth_F.C.;5.0;1.0
Tony_Jantschke;playsFor;Germany_national_youth_football_team;76.0;1.0
Pavel_Košťál;isAffiliatedTo;F.C._Hansa_Rostock;8.0;1.0
Bret_McKenzie;hasMusicalRole;wordnet_vocal_music_107282006;89.0;1.0
Édouard_Wawrzyniak;isAffiliatedTo;Valenciennes_F.C.;6.0;4.0
Chaker_Zouagi;playsFor;Olmaliq_FK;1.0;2.0
Nicolás_Olivera;isAffiliatedTo;Córdoba_C.F.;10.0;11.0
Guy_Dardenne;isAffiliatedTo;R._White_Daring_Molenbeek;327.0;77.0
Jim_Moffat;isAffiliatedTo;Albion_Rovers_F.C.;1.0;1.0
Alan_Sunderland;playsFor;Derry_City_F.C.;1.0;2.0
José_Callejón;playsFor;Real_Madrid_C;2.0;1.0
Adrian_Pătulea;isAffiliatedTo;FC_Rapid_București;1.0;1.0
Jesús_Turiel;isAffiliatedTo;Real_Valladolid_B;1.0;1.0
Divya_Bharti;actedIn;Balwaan;448.0;90.0
Luciano_Quadros_da_Silva;wasBornIn;Porto_Alegre;5835.0;54.0
Pat_Noonan;isAffiliatedTo;Colorado_Rapids;1.0;1.0
Battle_of_the_Dukla_Pass;happenedIn;Nazi_Germany;9.0;1.0
Frank_Mill;isAffiliatedTo;Fortuna_Düsseldorf;1.0;1.0
Volodymyr_Muntyan;isAffiliatedTo;S.K._Tavriya_Simferopol;175.0;64.0
Leopold_III,_Margrave_of_Austria;hasChild;Gertrude_of_Babenberg,_Duchess_of_Bohemia;4.0;43.0
Marcel_Schmelzer;playsFor;Germany_national_under-21_football_team;148.0;1.0
Eran_Zahavi;wasBornIn;Rishon_LeZion;38.0;1.0
Antonio_Candreva;playsFor;Ternana_Calcio;8.0;4.0
Robert_Louis_Stevenson;influences;David_Leavitt;12.0;135.0
Stan_Lazaridis;playsFor;Perth_Glory_FC;1.0;1.0
Sean_Green_(basketball);isAffiliatedTo;Utah_Jazz;247.0;103.0
Fabio_Bonci;playsFor;Parma_F.C.;1.0;2.0
National_Union_(Israel);isLocatedIn;Jerusalem;915.0;59.0
Arran_Lee-Barrett;playsFor;Cardiff_City_F.C.;14.0;1.0
Larbi_Benbarek;isAffiliatedTo;RS_Settat;6363.0;26.0
Andy_Saville;playsFor;Barnsley_F.C.;1.0;1.0
Celso_Brum_Junior;playsFor;Clube_Esportivo_Bento_Gonçalves;1.0;1.0
Republic_of_Serbian_Krajina;participatedIn;Croatian_War_of_Independence;1.0;1.0
Srikanth_Deva;wroteMusicFor;Sivakasi_(film);1.0;3.0
Jörg_Reeb;playsFor;FC_Augsburg;5.0;1.0
Christian_Perez_(footballer_born_1963);isAffiliatedTo;Shanghai_Greenland_F.C.;2.0;1.0
Josip_Škorić;hasGender;male;2614.0;1.0
Frank_Pingel;isAffiliatedTo;TSV_1860_München;1.0;1.0
Festus_Agu;playsFor;SV_Wacker_Burghausen;1.0;1.0
Erik_Estrada;wasBornIn;New_York_City;106780.0;67.0
Gerald_Thomas;directed;Carry_On_Emmannuelle;1.0;3.0
Jorginho_Putinatti;playsFor;Brazil_national_football_team;61.0;1.0
Erik_Sundin;isAffiliatedTo;Trelleborgs_FF;1633.0;78.0
Anzor_Kavazashvili;isAffiliatedTo;FC_Spartak_Moscow;12.0;1.0
Jean_Templin;wasBornIn;Baranovichi;99644.0;9869.0
Grigorij_Khizhnyak;isAffiliatedTo;Makedonikos_B.C.;1491.0;357.0
Wang_Xiao;playsFor;Tianjin_Teda_F.C.;2.0;1.0
Alexander_Downer;hasWonPrize;Centenary_Medal;18.0;1.0
Weston,_Connecticut;isLocatedIn;New_York_metropolitan_area;53.0;8.0
Oscoda,_Michigan;isLocatedIn;Iosco_County,_Michigan;9359.0;35218.0
Gmina_Pietrowice_Wielkie;isLocatedIn;Racibórz_County;157.0;112.0
Massimo_Maccarone;playsFor;Italy_national_under-20_football_team;15.0;1.0
Herman_Van_Rompuy;hasGender;male;6590.0;1.0
Bridgeport_Sound_Tigers;isLocatedIn;Fairfield_County,_Connecticut;815.0;44.0
Lee_Keun-ho;playsFor;Daegu_FC;1.0;1.0
