06845599;_member_of_domain_usage;03754979;1;30
00789448;_verb_group;01062739;1;1
08860123;_member_of_domain_region;05688486;1;9978
02233096;_member_meronym;02233338;434;23960
01371092;_hypernym;01352059;34;8
02314321;_hypernym;08102555;1785;37
08621598;_hypernym;08620061;5287;239
03239726;_has_part;03027250;130;11
12400489;_hypernym;12651821;40;2
00779360;_derivationally_related_form;15274695;2;4
07359599;_derivationally_related_form;00555447;1;1
10686313;_hypernym;09610660;35993;772
13286099;_derivationally_related_form;02234988;1;1
01444326;_hypernym;01441510;31414;1838
05442131;_has_part;05436080;68;147
08660339;_hypernym;08512259;34789;1787
07085786;_hypernym;07085375;10507;13813
06178812;_derivationally_related_form;10256080;1;1
01257145;_derivationally_related_form;07488875;1;2
02156546;_derivationally_related_form;07335716;1;1
02270342;_also_see;02577061;1;1
01938426;_hypernym;01835496;8809;445
08814333;_instance_hypernym;08524735;868;1
00770151;_hypernym;00766234;22803;5468
04903813;_derivationally_related_form;01763829;1;1
01908287;_hypernym;08107499;107;12
07861421;_derivationally_related_form;01577513;1;1
01046587;_hypernym;01046059;540;2902
00951037;_hypernym;00949619;8587;6940
13266892;_hypernym;13265904;40222;4336
15121625;_hypernym;00028270;17875;2421
06754184;_hypernym;06753800;7;872
01194418;_hypernym;02492198;106;113
01008719;_synset_domain_topic_of;08441203;38482;2
00474017;_derivationally_related_form;07357679;1;2
13627516;_has_part;13627327;126;986
00964569;_derivationally_related_form;01118449;1;1
04105068;_hypernym;04014297;25056;238
01322854;_derivationally_related_form;00223983;1;1
01716882;_derivationally_related_form;07007945;1;1
08159924;_hypernym;07971582;2;1
06580646;_hypernym;06568978;22778;34
00968962;_hypernym;00968211;26885;38558
01696849;_member_meronym;01697837;134;90
06643408;_hypernym;06797169;59;101
06596978;_hypernym;06593296;435;287
07572957;_hypernym;07566340;25528;259
01695976;_derivationally_related_form;04681797;2;16
07091902;_hypernym;06290637;24;222
02425228;_hypernym;02424695;28092;9307
06693198;_derivationally_related_form;00860620;1;1
01057034;_derivationally_related_form;01253379;1;1
00062582;_hypernym;00089324;3276;6877
01455592;_member_meronym;01455986;263;150
07191777;_hypernym;07191279;33864;9224
02514988;_member_meronym;02515214;27;38
08174398;_member_meronym;08949093;1;5
00630634;_hypernym;00624738;27507;2385
12406715;_hypernym;12405714;2;1
07466557;_hypernym;07470671;15336;21869
01733213;_hypernym;01714208;142;58
12224309;_hypernym;11534677;17;1
00810729;_hypernym;00811375;4;2
13726074;_has_part;13725726;34;266
00802946;_derivationally_related_form;01141841;1;2
09989045;_hypernym;10129825;35818;3415
00974367;_derivationally_related_form;09795124;1;1
02802544;_hypernym;03120491;6409;20571
10128909;_hypernym;09606527;22772;2326
01687569;_derivationally_related_form;05844105;1;1
02001858;_derivationally_related_form;00319939;2;6
05673908;_derivationally_related_form;01978003;1;1
