Jürgen_Habermas;isInterestedIn;Political_philosophy;11;1
Suriname;hasOfficialLanguage;Dutch_language;28;5
Telmo_Zarra;diedIn;Bilbao;247;6
Bret_McKenzie;hasMusicalRole;wordnet_vocal_music_107282006;37;1
Luciano_Quadros_da_Silva;wasBornIn;Porto_Alegre;MISS_61853;30
Divya_Bharti;actedIn;Balwaan;1131;1517
Battle_of_the_Dukla_Pass;happenedIn;Nazi_Germany;3;1
Robert_Gascoyne-Cecil,_3rd_Marquess_of_Salisbury;hasGender;male;6353;1
Rosemère,_Quebec;isLocatedIn;Quebec;12;1
Leopold_III,_Margrave_of_Austria;hasChild;Gertrude_of_Babenberg,_Duchess_of_Bohemia;1;2
Nicolás_Olivera;isAffiliatedTo;Córdoba_C.F.;30;1
Eran_Zahavi;wasBornIn;Rishon_LeZion;118;30
Édouard_Wawrzyniak;isAffiliatedTo;Valenciennes_F.C.;13;4
Robert_Louis_Stevenson;influences;David_Leavitt;100;214
Volodymyr_Muntyan;isAffiliatedTo;S.K._Tavriya_Simferopol;629;30
Pablo_Bonells;isAffiliatedTo;Club_Celaya;2;1
Jesús_Turiel;isAffiliatedTo;Real_Valladolid_B;1;1
Guy_Dardenne;isAffiliatedTo;R._White_Daring_Molenbeek;57;4
Torbjörn_Nilsson;isAffiliatedTo;IFK_Göteborg;2;1
Sean_Green_(basketball);isAffiliatedTo;Utah_Jazz;222;29
Chaker_Zouagi;playsFor;Olmaliq_FK;3;3
National_Union_(Israel);isLocatedIn;Jerusalem;191;15
Republic_of_Serbian_Krajina;participatedIn;Croatian_War_of_Independence;9;1
Srikanth_Deva;wroteMusicFor;Sivakasi_(film);3;24
Frank_Mill;isAffiliatedTo;Fortuna_Düsseldorf;5;1
Jim_Moffat;isAffiliatedTo;Albion_Rovers_F.C.;1;1
Mantorras;playsFor;F.C._Alverca;2;1
Pavel_Košťál;isAffiliatedTo;F.C._Hansa_Rostock;8;1
Adrian_Pătulea;isAffiliatedTo;FC_Rapid_București;1;1
Erik_Estrada;wasBornIn;New_York_City;MISS_63753;MISS_0
Gerald_Thomas;directed;Carry_On_Emmannuelle;1;1
Pat_Noonan;isAffiliatedTo;Colorado_Rapids;1;1
Josip_Škorić;hasGender;male;3553;1
Alan_Sunderland;playsFor;Derry_City_F.C.;2;1
Jean_Templin;wasBornIn;Baranovichi;MISS_61132;MISS_987
Stan_Collymore;playsFor;England_national_football_team;9;1
Victorio_Cocco;isAffiliatedTo;Argentina_national_football_team;6;1
Alexander_Downer;hasWonPrize;Centenary_Medal;44;1
Weston,_Connecticut;isLocatedIn;New_York_metropolitan_area;4;1
Oscoda,_Michigan;isLocatedIn;Iosco_County,_Michigan;249;MISS_13586
Antonio_Candreva;playsFor;Ternana_Calcio;3;2
Mark_Blake_(footballer_born_1970);isAffiliatedTo;Portsmouth_F.C.;2;1
Gmina_Pietrowice_Wielkie;isLocatedIn;Racibórz_County;157;13
Bridgeport_Sound_Tigers;isLocatedIn;Fairfield_County,_Connecticut;286;5
José_Callejón;playsFor;Real_Madrid_C;3;1
Grigorij_Khizhnyak;isAffiliatedTo;Makedonikos_B.C.;463;128
Herman_Van_Rompuy;hasGender;male;2389;1
Tony_Jantschke;playsFor;Germany_national_youth_football_team;7;1
Larbi_Benbarek;isAffiliatedTo;RS_Settat;956;694
Marcel_Schmelzer;playsFor;Germany_national_under-21_football_team;54;1
George_H._Plympton;created;The_Green_Hornet_(serial);1;17
Erik_Sundin;isAffiliatedTo;Trelleborgs_FF;441;53
Christian_Perez_(footballer_born_1963);isAffiliatedTo;Shanghai_Greenland_F.C.;1;1
Velibor_Vasović;playsFor;AFC_Ajax;32;3
William_S._Burroughs;influences;Michael_Cisco;81;300
Festus_Agu;playsFor;SV_Wacker_Burghausen;1;1
Joe_Smith_(footballer_born_1890);hasGender;male;13;1
Oliver_Hardy;actedIn;The_Devil's_Brother;1;1
Gertrude_of_Babenberg,_Duchess_of_Bohemia;hasChild;Frederick,_Duke_of_Bohemia;1;2
Louis_I_of_Hungary;diedIn;Trnava;MISS_1136;1634
Stan_Lazaridis;playsFor;Perth_Glory_FC;2;1
Eric_Bana;actedIn;Hulk_(film);2889;3835
Fabio_Bonci;playsFor;Parma_F.C.;14;1
Andy_Saville;playsFor;Barnsley_F.C.;2;1
Stuart_Gilmore;edited;Thoroughly_Modern_Millie;2;18
Frank_Pingel;isAffiliatedTo;TSV_1860_München;2;1
Battle_of_Dürenstein;happenedIn;First_French_Empire;4;1
Prince_Leopold_of_Bavaria;hasWonPrize;Grand_Cross_of_the_Iron_Cross;18;15
